IDFeature	txtCountry	refIDSite	txtSite	txtType_of_Feature	txtFeature	txtCulture	txtSex	txtAge	txtCommentary	dblLatitude	dblLongitude	txtReference
338	Germany	308	Sengkofen	Grave	9	Latest LPC	undetermined	Adult		48.924581	12.288987	Nieszery 1995, 305-306
339	Germany	308	Sengkofen	Grave	10	Latest LPC	Male	Mature	Double grave together with one child (Infant I).	48.924581	12.288987	Nieszery 1995, 306
340	Germany	308	Sengkofen	Grave	21	Latest LPC	undetermined	Infant 2/Juvenile		48.924581	12.288987	Nieszery 1995, 307-308
341	Germany	308	Sengkofen	Grave	23	Latest LPC	undetermined	undetermined		48.924581	12.288987	Nieszery 1995, 308
342	Germany	308	Sengkofen	Grave	26	Latest LPC	Male	Early Adult		48.924581	12.288987	Nieszery 1995, 308
343	Germany	308	Sengkofen	Grave	29	Latest LPC	Female	Early Adult		48.924581	12.288987	Nieszery 1995, 309
226	Germany	95	Sondershausen	Grave	SO/10	Earlier LPC	undetermined	Infant 2		51.370833	10.872222	Kahlke 2004, 21
229	Germany	95	Sondershausen	Grave	SO/13	Earlier LPC	Female	Early Adult	The funeral is partially disturbed. Some sherds were found above the dead body.	51.370833	10.872222	Kahlke 2004, 21-23
233	Germany	95	Sondershausen	Grave	SO/17	Earlier LPC	Female	Early Mature		51.370833	10.872222	Kahlke 2004, 24
248	Germany	95	Sondershausen	Grave	SO/32	Earlier LPC	Female	Early Adult		51.370833	10.872222	Kahlke 2004, 32
256	Germany	95	Sondershausen	Grave	SO/42	Earlier LPC	Female	Early Adult		51.370833	10.872222	Kahlke 2004, 36
365	Germany	309	Straubing	Grave	undetermined	LPC	undetermined	undetermined	While Keim (1957, 127) mentions only four white pearls, Maier (1964, 24) refers to jewellery made of Spondylus.	48.87502	12.581079	Keim 1957; Maier 1964, 24
370	Germany	340	Stuttgart-Mühlhausen	Grave	II-48	Earlier LPC	Male	Mature		48.843056	9.229167	Price et al. 2003, 37
371	Germany	340	Stuttgart-Mühlhausen	Grave	II-55	Earlier LPC	Male	Adult		48.843056	9.229167	Price et al. 2003, 37
372	Germany	415	Vaihingen	Grave	128	LPC	undetermined	Infant 1	Grave within the settlement.	48.7301	9.1097	Krause 2000, 25
573	Germany	311	Wittmar	Grave	38	Middle LPC	Female	Early Adult		52.129722	10.64	Rötting 1983, 142
574	Germany	311	Wittmar	Grave	33	Middle LPC	Female	Mature		52.129722	10.64	Rötting 1983, 142
207	Germany	97	Wulfen (Kreis Köthen)	Grave	undetermined	LPC	Female	Juvenile	Measurement of beads ID 5565 - 5570 is not possible. The length is between 1.95 and 3.3 cm and the diameter between 0.95 and 1.2 cm.	51.816667	11.933056	Laser 1959, 87-89
211	Germany	300	Zauschwitz	Grave	undetermined	Latest LPC	undetermined	Infant 2		51.166667	12.25	Neugebauer and Coblenz 1960
658	Greece	458	Agios Petros	undetermined	undetermined	EN - MN (Greece)				39.3333333	24	Efstratiou 1985
633	Greece	352	Avgi	undetermined	undetermined	MN - LN (Greece)				40.448794	21.176436	Theodoropoulou 2011
185	Greece	426	Choirospilia	undetermined	undetermined	Uncertain				38.618616	20.655172	Dörpfeld 1927, plate 82a
111	Greece	351	Dikili Tash	undetermined	undetermined	MN - LN (Greece)				41.00984	24.300652	Erard-Cerceau 1992; Karali-Yanakopoulou 1992
419	Greece	350	Dimitra	Section	1/2	MN - LN (Greece)				40.979173	23.866378	Karali 1997
105	Greece	354	Dispilio (Eastern part)	Layer	B1	Late Neolithic (Greece)			There are some artefacts in Dispilio, which are similar to the Central European V-Klappen, but Veropoulidou and Ifantidis (2004, 73) describe them as hook-shaped sceptres.	40.480556	21.2875	Veropoulidou and Ifantidis 2004
106	Greece	354	Dispilio (Eastern part)	Layer	B2	Late Neolithic (Greece)				40.480556	21.2875	Veropoulidou and Ifantidis 2004
107	Greece	354	Dispilio (Eastern part)	Layer	B3	Late Neolithic (Greece)			All the bracelets are fragmented.	40.480556	21.2875	Veropoulidou and Ifantidis 2004
108	Greece	354	Dispilio (Eastern part)	Layer	C	Middle neolithic (Greece)			Except one ring, their state of preservation is only between 5 - 80 %.	40.480556	21.2875	Veropoulidou and Ifantidis 2004
635	Greece	424	Drakaina	undetermined	undetermined	MN - LN (Greece)				38.15	20.766667	Karkanas and Stratouli 2008, 38
151	Greece	221	Franchthi-Höhle	Section	G	Franchthi-cave (C-14)				37.422456	23.132222	Shackleton et al. 1988, 106-123
