IDFeature	txtCountry	refIDSite	txtSite	txtType_of_Feature	txtFeature	txtCulture	txtSex	txtAge	txtCommentary	dblLatitude	dblLongitude	txtReference
497	Italy	10	Passo di Corvo	Pit	ζ	Impressed Ware (Phase Masseria la Quercia)				41.553241	15.61097	Tinè 1983, 100 and plate 131.725 and plate 133.734
670	Italy	9	Ripa Tetta	undetermined	undetermined	Impressed Ware (Guadone)				41.504608	15.338022	Borrello and Micheli 2011, 27
671	Italy	27	Villa Badessa	undetermined	undetermined	Catignano-Scaloria Bassa				42.35351	14.038955	Borrello and Micheli 2011, 27
638	Poland	320	Scotkowice	Grave	undetermined	Latest LPC	undetermined	undetermined		50.35	20.333333	Krauss 1964, 69-76; Pavúk 1972, 61
180	Republic of Macedonia	213	Anza	Layer	II	Starčevo				41.813091	21.995962	Gimbutas 1974a, 60; Miller 1997b, 96-97
181	Republic of Macedonia	213	Anza	Layer	IV	Vinča A				41.813091	21.995962	Gimbutas 1974a, 60; Miller 1997b, 96-97
63	Romania	183	Agigea	undetermined	undetermined	Late Hamangia				44.091667	28.611389	Slobozianu 1959, 737 Fig. 2,3-5; Voinea et al. 2009
644	Romania	196	Alba Iulia (Lumea Nouă)	undetermined	undetermined	Vinča-Turdaş				46.063059	23.567703	Comşa 1973, 71; Schuster 2002, 52-53
512	Romania	149	Ceamurlia-de-Jos	undetermined	undetermined	Hamangia				44.733333	28.716667	Comşa 1973, 66; Enea 2009, 148
479	Romania	150	Cernavodă	Section	SI	Hamangia II				44.338056	28.033611	Kogălniceanu 2012
480	Romania	150	Cernavodă	Grave	404 a or b	Hamangia II	Male	Mature		44.338056	28.033611	Kogălniceanu 2012
481	Romania	150	Cernavodă	Grave	403	Hamangia II	Male	Mature		44.338056	28.033611	Kogălniceanu 2012
482	Romania	150	Cernavodă	undetermined	undetermined	Hamangia II				44.338056	28.033611	Kogălniceanu 2012
483	Romania	150	Cernavodă	Grave	290	Hamangia II	undetermined	Adult		44.338056	28.033611	Kogălniceanu 2012
484	Romania	150	Cernavodă	Section	CVD'55	Hamangia II				44.338056	28.033611	Kogălniceanu 2012
485	Romania	150	Cernavodă	Section	CVD	Hamangia II				44.338056	28.033611	Kogălniceanu 2012
486	Romania	150	Cernavodă	Section	CVD'56	Hamangia II				44.338056	28.033611	Kogălniceanu 2012
487	Romania	150	Cernavodă	Section	CVD'58	Hamangia II				44.338056	28.033611	Kogălniceanu 2012
513	Romania	190	Cernica	Grave	292	Early Boian	Female	Adult		44.412688	26.264688	Comşa and Cantacuzino 2001, 121
514	Romania	190	Cernica	undetermined	undetermined	Early Boian			No further details are given on the Spondylus jewellery from Cernica.	44.412688	26.264688	Enea 2009, 148
39	Romania	181	Limanu	undetermined	undetermined	Hamangia			More than 700 beads from marine shells of an unknown species were found.	43.808056	28.548889	Comşa 1973, 64; Schuster 2002; Voinea et al. 2009; Volschi and Irimia 1968, 83
621	Romania	192	Liubcova	undetermined	undetermined	Vinča B				44.655992	21.894036	Schuster 2002, 55
624	Romania	512	Magura - Buduiasca	undetermined	undetermined	Vădastra				44.018517	25.412192	Mirea 2009, 287
38	Romania	151	Mangalia	undetermined	undetermined	Hamangia III				43.817222	28.582778	Voinea et al. 2009; Volschi and Irimia 1968, 57-58
639	Romania	290	Olteniţa	Grave	undetermined	Boian	undetermined	undetermined		44.085643	26.637381	Schuster 2002, 55
641	Romania	152	Ostrovul Corbului	undetermined	undetermined	Vinča-Turdaş				44.50355	22.752359	Comşa 1973, 70
585	Romania	194	Parța	undetermined	undetermined	Vinča			Some of the artefacts are surface finds, while others were recovered from settlement strata.	45.627511	21.13304	Resch and Germann 1995
596	Romania	293	Radovanu	undetermined	undetermined	Late Boian (Transition to Gumelniţa)			Comşa (1990) mentions only the bracelet, while Schuster (2002) speaks of beads.	44.196598	26.51711	Comşa 1990, 96
627	Romania	409	Rast	undetermined	undetermined	Vinča-Turdaş				43.88333	23.28333	Chapman and Kostov 2010, 71
622	Romania	193	Răcăşdia	undetermined	undetermined	Vinča				44.996224	21.626339	Comşa 1973, 70; Schuster 2002
640	Romania	295	Sultana-Valea Orbului	Grave	undetermined	Boian-Bolintineau	undetermined	undetermined		44.260172	26.868877	Schuster 2002, 56
515	Romania	204	Tartăriă	Pit	undetermined	Vinča A			Together with the Spondylus artefacts, human bones were discovered in the settlement pit.	45.9	23.4	Lazarovici and Merlini 2008
643	Romania	195	Turdaş	undetermined	undetermined	Vinča-Turdaş				45.839942	23.117056	Comşa 1973, 71; Schuster 2002, 56
625	Romania	457	Vădastra	Surface find	undetermined	Vădastra				43.863473	24.378846	Gheorghiu 2011, 15 Fig. 2.4
642	Romania	188	Vărăşti (Settlement)	undetermined	undetermined	Boian				44.223136	26.939181	Comşa 1973, 67-68
506	Serbia	205	Aradac	undetermined	undetermined	Vinča			Number of Spondylus artefacts is uncertain.	45.379167	20.299722	Карапанџић 1922, 173; Milleker 1938, 107
505	Serbia	206	Botoš	Grave	undetermined	Vinča (early)	undetermined	undetermined		45.308333	20.636111	Milleker 1938, 112-114, 148
510	Serbia	419	Drenovac	undetermined	undetermined	Vinča-Turdaş				43.76013	21.430806	Bajčev and Stojanović 2016, 104; Vitezović 2011, 121
589	Serbia	211	Gaj-Čolak	undetermined	undetermined	Vinča				44.979931	21.094809	Chapman 1981, Fig. 105; Dimitrijević and Tripković 2006, 249
584	Serbia	348	Mostonga	Grave	undetermined	Vinča A	undetermined	Juvenile		45.51726	19.271709	Karmanski 1977, plate 7; Lichter 2001, 414
500	Serbia	202	Novi Knježevac - Kamara humka	Single find	undetermined	Vinča				46.083117	20.15998	Milleker 1938, 105
507	Serbia	207	Podporanj	undetermined	undetermined	Vinča				45.023635	21.244849	Milleker 1938, 148; Joanović 2002, 29 and 40
578	Serbia	212	Vinča-Belo Brdo	Layer	8,5m	Vinča				44.761944	20.623056	Dimitrijević and Tripković 2006, 243
579	Serbia	212	Vinča-Belo Brdo	Layer	7,5	Vinča				44.761944	20.623056	Dimitrijević and Tripković 2006, 243
580	Serbia	212	Vinča-Belo Brdo	Layer	7	Vinča				44.761944	20.623056	Dimitrijević and Tripković 2006, 243
502	Serbia	208	Vršac-At 1 und 2	undetermined	undetermined	Vinča				45.1203	21.3204	Milleker 1938, 148
503	Serbia	209	Vršac-Kozluk	undetermined	undetermined	Vinča				45.1432811	21.3361231	Milleker 1938, 148
501	Serbia	210	Vršac-Potporanje Granica	undetermined	undetermined	Vinča				45.074066	21.264299	Milleker 1938, 148
646	Serbia	203	Čoka-Kremenjak	Hoard	I	Early Vinča/transition Szakálhát-Tisza				45.933333	20.15	Raczky 1994
520	Slovakia	474	Bajč	Grave	1	Želiezovce	Female	Adult		47.916667	18.216667	Cheben 2000, 72
519	Slovakia	62	Holiare	Grave	undetermined	LPC	undetermined	Child	Bárta and Willvonseder (1934, 6) mention around 500 beads made of Spondylus.	47.833333	17.816667	Buttler 1938, plate 12.7; Bárta and Willvonseder 1934, 6
647	Slovakia	69	Hurbanovo	Surface find	undetermined	Želiezovce				47.876111	18.197222	Vencl 1959, 707
619	Slovakia	331	Iža	undetermined	undetermined	Late LPC and Želiezovce				47.750556	18.233333	Pavúk 1972, 58 Fig. 42
620	Slovakia	330	Milanovce	undetermined	undetermined	Želiezovce				48.1833	18.1667	Pavúk 1972, 62
460	Slovakia	250	Nitra	Grave	2	Middle LPC	Male	Mature		48.314722	18.0875	Pavúk 1972, 6
461	Slovakia	250	Nitra	Grave	6	Middle LPC	Female	Mature		48.314722	18.0875	Pavúk 1972, 8
462	Slovakia	250	Nitra	Grave	8	Middle LPC	Male	Mature		48.314722	18.0875	Pavúk 1972, 8
463	Slovakia	250	Nitra	Grave	21	Middle LPC	Male	Mature		48.314722	18.0875	Pavúk 1972, 11-12
464	Slovakia	250	Nitra	Grave	25	Middle LPC	Male	Mature		48.314722	18.0875	Pavúk 1972, 12
465	Slovakia	250	Nitra	Grave	34	Middle LPC	Male	Mature		48.314722	18.0875	Pavúk 1972, 14
466	Slovakia	250	Nitra	Grave	39	Middle LPC	Male	Mature		48.314722	18.0875	Pavúk 1972, 15-16
467	Slovakia	250	Nitra	Grave	58	Middle LPC	Male	Mature		48.314722	18.0875	Pavúk 1972, 20
468	Slovakia	250	Nitra	Grave	70	Middle LPC	Female	Adult	The grave has not been fully excavated.	48.314722	18.0875	Pavúk 1972, 22
516	Slovakia	68	Veľký Grob	Grave	undetermined	Bükk	undetermined	undetermined		48.253056	17.494444	Chropovský 1958, 26; Steklá 1956, 708;
517	Slovakia	251	Šarišské Michal’any	Grave	12 oder 13	Bükk	undetermined	Adult		49.069167	21.137222	Šiška 1986, 445
518	Slovakia	251	Šarišské Michal’any	Grave	undetermined	Bükk	undetermined	Child		49.069167	21.137222	Šiška 1986, 445
190	Turkey	298	Aşağı Pınar	Layer	3	Karanovo IV				41.720886	27.220529	Özdoğan and Parzinger 2000, 87
663	Turkey	298	Aşağı Pınar	Layer	5-6	Karanovo II - Karanovo III				41.720886	27.220529	Özdoğan 2013, 260 Fig. 144
662	Turkey	515	Barcın Höyük	Layer	VI	Late Neolithic (Turkey)				40.267082	29.60187	Baysal 2014; Gerritsen et al. 2013
540	Turkey	296	Uğurlu	Layer	III	Karanovo III				40.126505	25.707823	Erdoğu 2011, 50, Fig. 15.2 and 16
14	Turkey	281	Çatalhöyük-West	Oven	F.2966	Early Chalcolithic (Turkey)				37.6675	32.828333	Erdoğu 2009, 50-51
541	Ukraine	430	Lasaya Gora	Grave	undetermined	Azovo-Dnieprovskaya	undetermined	undetermined		47.4339	35.279342	Kotova 2016
680	Ukraine	529	Rovancì	Pit	46	LPC (Ukraine)				50.75	25.333333	Bardec’kyj et al. 2016
